Algorisme,Dataset,Accuracy,Precision,F1-Score
KNN,df_3s,0.9119119119119119,0.9130831992447013,0.9120275921886195
SVM,df_3s,0.7627627627627628,0.7606712625605556,0.7597854139036984
Decision Tree,df_3s,0.6491491491491491,0.6503556108340874,0.6486114280032389
Random Forest,df_3s,0.8828828828828829,0.883564717969242,0.8818065577684951
Logistic Regression,df_3s,0.6856856856856857,0.6841522208220682,0.6772169358772819
Gaussian NB,df_3s,0.5230230230230231,0.533841192394062,0.5037424663504104
Bernoulli NB,df_3s,0.09259259259259259,0.31582352357390103,0.02079249107192926
Multinomial NB,df_3s,0.508008008008008,0.5093748828654597,0.4863118428466879
KNN,df_30s,0.68,0.685377519023804,0.6744183560510723
SVM,df_30s,0.635,0.6344675595238095,0.6280999758144034
Decision Tree,df_30s,0.585,0.581564311594203,0.576742346888082
Random Forest,df_30s,0.755,0.7621263828763829,0.751875362345395
Logistic Regression,df_30s,0.6,0.6084803072303072,0.5907620246795172
Gaussian NB,df_30s,0.5,0.559322342032495,0.4843201971995472
Bernoulli NB,df_30s,0.065,0.061263157894736846,0.02404433497536946
Multinomial NB,df_30s,0.44,0.4380941413448841,0.4130777749503153
